result_id,image_id,defect_type,defect_coordinates,is_defective,confidence_score,created_at
157,125,scratch,"{""x1"": 70, ""y1"": 58, ""x2"": 200, ""y2"": 184}",True,0.77,2023-09-01 03:46:10
160,128,stain,"{""x1"": 17, ""y1"": 10, ""x2"": 129, ""y2"": 184}",True,0.87,2023-01-21 05:02:58
163,25,stain,"{""x1"": 11, ""y1"": 49, ""x2"": 130, ""y2"": 192}",True,0.51,2023-09-22 12:27:02
166,72,dent,"{""x1"": 66, ""y1"": 39, ""x2"": 181, ""y2"": 134}",True,0.7,2023-10-23 15:52:27
169,191,,,False,,2023-10-26 15:02:36
172,7,dent,"{""x1"": 50, ""y1"": 50, ""x2"": 119, ""y2"": 114}",True,0.88,2023-06-18 07:40:07
175,207,,,False,,2023-10-16 19:14:11
178,66,dent,"{""x1"": 4, ""y1"": 49, ""x2"": 174, ""y2"": 188}",True,0.98,2023-12-10 11:04:35
181,190,dent,"{""x1"": 88, ""y1"": 85, ""x2"": 190, ""y2"": 144}",True,0.72,2023-03-13 13:51:09
184,21,stain,"{""x1"": 4, ""y1"": 71, ""x2"": 129, ""y2"": 200}",True,0.81,2023-06-03 14:02:04
187,222,scratch,"{""x1"": 55, ""y1"": 92, ""x2"": 165, ""y2"": 163}",True,0.55,2023-11-05 17:46:56
190,188,stain,"{""x1"": 45, ""y1"": 63, ""x2"": 172, ""y2"": 154}",True,0.95,2023-04-04 01:42:10
193,86,stain,"{""x1"": 4, ""y1"": 21, ""x2"": 174, ""y2"": 181}",True,0.54,2023-11-18 05:30:52
196,111,stain,"{""x1"": 16, ""y1"": 54, ""x2"": 121, ""y2"": 111}",True,0.54,2023-02-20 15:38:03
199,296,dent,"{""x1"": 58, ""y1"": 46, ""x2"": 165, ""y2"": 134}",True,0.55,2023-02-05 19:03:47
202,109,,,False,,2023-03-21 20:50:32
205,15,scratch,"{""x1"": 73, ""y1"": 19, ""x2"": 176, ""y2"": 103}",True,0.81,2023-09-12 00:48:44
208,221,dent,"{""x1"": 1, ""y1"": 31, ""x2"": 139, ""y2"": 113}",True,0.75,2023-10-06 00:12:12
211,233,stain,"{""x1"": 40, ""y1"": 21, ""x2"": 171, ""y2"": 170}",True,0.63,2023-03-15 20:28:08
214,188,,,False,,2023-03-13 05:42:38
217,239,dent,"{""x1"": 48, ""y1"": 45, ""x2"": 102, ""y2"": 142}",True,0.6,2023-06-13 18:14:06
220,269,scratch,"{""x1"": 15, ""y1"": 90, ""x2"": 171, ""y2"": 176}",True,0.72,2023-04-16 23:38:08
223,295,dent,"{""x1"": 45, ""y1"": 41, ""x2"": 192, ""y2"": 147}",True,0.78,2023-07-17 15:38:24
226,24,,,False,,2023-12-13 17:23:48
229,8,scratch,"{""x1"": 51, ""y1"": 96, ""x2"": 178, ""y2"": 184}",True,0.58,2023-04-01 15:36:18
232,241,scratch,"{""x1"": 98, ""y1"": 72, ""x2"": 196, ""y2"": 130}",True,0.99,2023-10-06 02:00:20
235,114,dent,"{""x1"": 96, ""y1"": 68, ""x2"": 144, ""y2"": 156}",True,0.79,2023-09-10 14:11:51
238,99,dent,"{""x1"": 34, ""y1"": 20, ""x2"": 146, ""y2"": 192}",True,0.84,2023-06-09 12:26:39
241,234,stain,"{""x1"": 33, ""y1"": 27, ""x2"": 122, ""y2"": 173}",True,0.85,2023-11-07 02:00:16
244,268,stain,"{""x1"": 6, ""y1"": 96, ""x2"": 185, ""y2"": 152}",True,0.95,2023-03-02 04:48:00
247,173,scratch,"{""x1"": 32, ""y1"": 26, ""x2"": 196, ""y2"": 190}",True,0.92,2023-10-02 01:53:36
250,219,dent,"{""x1"": 76, ""y1"": 78, ""x2"": 122, ""y2"": 111}",True,0.63,2023-11-10 23:46:33
253,61,stain,"{""x1"": 67, ""y1"": 27, ""x2"": 126, ""y2"": 150}",True,0.69,2023-07-28 19:42:16
256,299,stain,"{""x1"": 87, ""y1"": 73, ""x2"": 125, ""y2"": 143}",True,0.75,2023-06-24 02:11:04
259,287,dent,"{""x1"": 31, ""y1"": 26, ""x2"": 141, ""y2"": 111}",True,0.7,2023-07-22 05:32:38
262,236,,,False,,2023-10-19 17:54:27
265,142,,,False,,2023-09-14 11:56:31
268,18,dent,"{""x1"": 74, ""y1"": 89, ""x2"": 177, ""y2"": 177}",True,0.59,2023-02-04 00:36:19
271,55,,,False,,2023-09-09 23:55:47
274,188,scratch,"{""x1"": 83, ""y1"": 95, ""x2"": 148, ""y2"": 155}",True,0.64,2023-06-17 19:58:10
277,290,dent,"{""x1"": 58, ""y1"": 76, ""x2"": 168, ""y2"": 157}",True,0.78,2023-06-09 13:55:13
280,46,dent,"{""x1"": 22, ""y1"": 72, ""x2"": 129, ""y2"": 105}",True,0.66,2023-02-02 16:29:59
283,37,,,False,,2023-06-19 20:55:27
286,42,stain,"{""x1"": 26, ""y1"": 27, ""x2"": 132, ""y2"": 192}",True,0.89,2023-05-27 12:48:07
289,117,dent,"{""x1"": 18, ""y1"": 18, ""x2"": 122, ""y2"": 158}",True,0.81,2023-09-12 02:15:32
292,271,,,False,,2023-11-01 07:59:12
295,27,stain,"{""x1"": 78, ""y1"": 87, ""x2"": 109, ""y2"": 106}",True,0.84,2023-09-23 14:50:35
298,26,dent,"{""x1"": 85, ""y1"": 44, ""x2"": 159, ""y2"": 154}",True,0.85,2023-12-10 21:06:29
301,107,stain,"{""x1"": 39, ""y1"": 47, ""x2"": 107, ""y2"": 157}",True,0.86,2023-01-11 17:22:09
304,11,scratch,"{""x1"": 78, ""y1"": 10, ""x2"": 137, ""y2"": 130}",True,0.85,2023-08-29 09:05:43
307,239,stain,"{""x1"": 35, ""y1"": 28, ""x2"": 102, ""y2"": 186}",True,0.66,2023-10-02 22:36:38
310,247,dent,"{""x1"": 89, ""y1"": 64, ""x2"": 104, ""y2"": 121}",True,0.93,2023-12-24 06:30:13
313,49,,,False,,2023-06-19 22:47:43
316,188,,,False,,2023-10-09 08:18:32
319,198,scratch,"{""x1"": 28, ""y1"": 85, ""x2"": 142, ""y2"": 173}",True,0.74,2023-11-10 23:07:55
322,144,,,False,,2023-07-06 04:35:03
325,292,,,False,,2023-10-15 05:10:56
328,84,dent,"{""x1"": 64, ""y1"": 90, ""x2"": 198, ""y2"": 117}",True,0.98,2023-01-11 10:20:37
331,186,scratch,"{""x1"": 39, ""y1"": 73, ""x2"": 131, ""y2"": 154}",True,0.74,2023-09-06 18:32:07
334,135,dent,"{""x1"": 54, ""y1"": 92, ""x2"": 181, ""y2"": 177}",True,0.95,2023-08-27 12:57:49
337,130,,,False,,2023-04-14 00:14:24
340,78,,,False,,2023-11-11 21:44:18
343,19,,,False,,2023-03-29 13:14:05
346,45,scratch,"{""x1"": 45, ""y1"": 10, ""x2"": 148, ""y2"": 113}",True,0.62,2023-11-19 02:51:34
349,95,scratch,"{""x1"": 86, ""y1"": 74, ""x2"": 184, ""y2"": 157}",True,0.63,2023-09-10 18:37:19
352,256,dent,"{""x1"": 3, ""y1"": 21, ""x2"": 145, ""y2"": 122}",True,0.78,2023-07-23 01:38:50
355,159,,,False,,2023-01-30 14:08:23
358,82,stain,"{""x1"": 94, ""y1"": 76, ""x2"": 191, ""y2"": 134}",True,0.78,2023-07-23 14:19:00
361,184,dent,"{""x1"": 3, ""y1"": 1, ""x2"": 161, ""y2"": 115}",True,0.86,2023-12-29 05:39:38
364,186,,,False,,2023-11-10 15:32:53
367,169,dent,"{""x1"": 4, ""y1"": 15, ""x2"": 119, ""y2"": 168}",True,0.79,2023-12-03 11:09:27
370,237,dent,"{""x1"": 96, ""y1"": 35, ""x2"": 183, ""y2"": 126}",True,0.86,2023-01-30 12:24:44
373,289,dent,"{""x1"": 98, ""y1"": 44, ""x2"": 146, ""y2"": 158}",True,0.81,2023-07-10 05:13:28
376,2,,,False,,2023-09-19 00:06:44
379,257,,,False,,2023-05-28 15:40:34
382,123,scratch,"{""x1"": 40, ""y1"": 98, ""x2"": 195, ""y2"": 163}",True,0.66,2023-03-09 03:43:21
385,222,dent,"{""x1"": 55, ""y1"": 18, ""x2"": 151, ""y2"": 157}",True,0.99,2023-04-10 12:04:26
388,223,,,False,,2023-12-12 21:39:16
391,177,scratch,"{""x1"": 76, ""y1"": 64, ""x2"": 129, ""y2"": 135}",True,0.63,2023-10-18 03:46:31
394,64,dent,"{""x1"": 89, ""y1"": 16, ""x2"": 151, ""y2"": 101}",True,0.93,2023-06-05 04:48:13
397,54,dent,"{""x1"": 9, ""y1"": 75, ""x2"": 141, ""y2"": 119}",True,0.9,2023-01-01 08:27:48
400,157,stain,"{""x1"": 31, ""y1"": 74, ""x2"": 114, ""y2"": 117}",True,0.61,2023-01-22 03:56:15
403,7,scratch,"{""x1"": 96, ""y1"": 26, ""x2"": 193, ""y2"": 108}",True,0.61,2023-10-02 17:36:19
406,216,dent,"{""x1"": 67, ""y1"": 71, ""x2"": 115, ""y2"": 194}",True,0.58,2023-03-28 00:35:51
409,250,dent,"{""x1"": 28, ""y1"": 16, ""x2"": 200, ""y2"": 147}",True,0.63,2023-10-26 22:05:29
412,242,scratch,"{""x1"": 41, ""y1"": 6, ""x2"": 147, ""y2"": 164}",True,0.58,2023-08-28 12:43:21
415,29,scratch,"{""x1"": 30, ""y1"": 99, ""x2"": 128, ""y2"": 176}",True,0.93,2023-11-20 06:24:29
418,126,,,False,,2023-11-28 10:46:46
421,107,dent,"{""x1"": 46, ""y1"": 78, ""x2"": 186, ""y2"": 114}",True,0.77,2023-08-02 08:44:36
424,46,scratch,"{""x1"": 70, ""y1"": 68, ""x2"": 191, ""y2"": 108}",True,0.73,2023-10-09 18:08:19
427,240,dent,"{""x1"": 66, ""y1"": 90, ""x2"": 173, ""y2"": 125}",True,0.53,2023-12-01 13:58:19
430,56,dent,"{""x1"": 15, ""y1"": 56, ""x2"": 141, ""y2"": 189}",True,0.57,2023-02-03 00:17:06
433,71,stain,"{""x1"": 52, ""y1"": 24, ""x2"": 128, ""y2"": 137}",True,0.82,2023-07-06 12:20:15
436,96,stain,"{""x1"": 97, ""y1"": 50, ""x2"": 176, ""y2"": 154}",True,0.75,2023-06-02 06:31:15
439,149,stain,"{""x1"": 46, ""y1"": 55, ""x2"": 102, ""y2"": 146}",True,0.56,2023-08-09 07:05:26
442,251,dent,"{""x1"": 97, ""y1"": 74, ""x2"": 153, ""y2"": 112}",True,0.66,2023-08-07 05:08:07
445,15,stain,"{""x1"": 77, ""y1"": 93, ""x2"": 129, ""y2"": 162}",True,0.61,2023-12-07 01:30:31
448,146,stain,"{""x1"": 3, ""y1"": 27, ""x2"": 171, ""y2"": 174}",True,0.62,2023-03-07 01:19:56
