result_id,image_id,defect_type,defect_coordinates,is_defective,confidence_score,created_at
108,262,stain,"{""x1"": 13, ""y1"": 26, ""x2"": 190, ""y2"": 150}",True,0.87,2023-11-16 23:04:58
111,161,,,False,,2023-01-29 05:04:45
114,236,stain,"{""x1"": 18, ""y1"": 29, ""x2"": 177, ""y2"": 122}",True,0.79,2023-01-19 10:57:10
117,225,dent,"{""x1"": 64, ""y1"": 85, ""x2"": 121, ""y2"": 168}",True,0.92,2023-07-13 08:35:50
120,215,scratch,"{""x1"": 65, ""y1"": 57, ""x2"": 172, ""y2"": 175}",True,0.76,2023-12-09 20:17:15
123,85,dent,"{""x1"": 59, ""y1"": 11, ""x2"": 130, ""y2"": 177}",True,0.69,2023-10-29 11:06:30
126,67,stain,"{""x1"": 53, ""y1"": 67, ""x2"": 131, ""y2"": 139}",True,0.54,2023-03-28 03:59:14
129,264,dent,"{""x1"": 26, ""y1"": 47, ""x2"": 133, ""y2"": 103}",True,0.98,2023-09-17 20:17:45
132,153,scratch,"{""x1"": 18, ""y1"": 62, ""x2"": 140, ""y2"": 155}",True,0.89,2023-06-04 01:14:27
135,296,dent,"{""x1"": 51, ""y1"": 64, ""x2"": 100, ""y2"": 105}",True,0.52,2023-12-09 01:49:11
138,243,,,False,,2023-07-15 18:17:48
141,238,scratch,"{""x1"": 16, ""y1"": 80, ""x2"": 146, ""y2"": 182}",True,0.65,2023-07-04 14:55:27
144,250,scratch,"{""x1"": 37, ""y1"": 37, ""x2"": 180, ""y2"": 198}",True,0.93,2023-10-23 19:13:49
147,262,dent,"{""x1"": 72, ""y1"": 84, ""x2"": 153, ""y2"": 102}",True,0.81,2023-06-23 05:42:25
150,21,,,False,,2023-01-02 05:51:26
153,22,stain,"{""x1"": 40, ""y1"": 43, ""x2"": 157, ""y2"": 115}",True,0.55,2023-09-27 06:29:43
156,222,scratch,"{""x1"": 78, ""y1"": 9, ""x2"": 129, ""y2"": 159}",True,0.65,2023-09-24 15:13:58
159,281,,,False,,2023-11-14 08:36:55
162,36,,,False,,2023-04-07 23:49:42
165,261,,,False,,2023-09-19 11:24:23
168,123,scratch,"{""x1"": 39, ""y1"": 94, ""x2"": 107, ""y2"": 189}",True,0.59,2023-12-22 02:36:19
171,45,scratch,"{""x1"": 51, ""y1"": 55, ""x2"": 154, ""y2"": 123}",True,0.6,2023-10-27 11:47:44
174,127,,,False,,2023-04-22 02:27:25
177,60,dent,"{""x1"": 25, ""y1"": 66, ""x2"": 195, ""y2"": 124}",True,0.58,2023-09-07 19:00:04
180,165,dent,"{""x1"": 48, ""y1"": 75, ""x2"": 111, ""y2"": 129}",True,0.81,2023-02-23 07:20:39
183,3,,,False,,2023-06-14 05:30:25
186,3,,,False,,2023-02-09 04:43:00
189,100,dent,"{""x1"": 89, ""y1"": 26, ""x2"": 114, ""y2"": 200}",True,0.92,2023-02-04 16:36:44
192,241,scratch,"{""x1"": 48, ""y1"": 57, ""x2"": 158, ""y2"": 199}",True,0.56,2023-11-01 19:46:35
195,97,dent,"{""x1"": 37, ""y1"": 37, ""x2"": 141, ""y2"": 108}",True,0.61,2023-03-06 10:58:27
198,238,stain,"{""x1"": 72, ""y1"": 66, ""x2"": 110, ""y2"": 199}",True,0.87,2023-12-21 14:03:49
201,177,,,False,,2023-11-29 01:45:14
204,162,,,False,,2023-09-13 23:39:58
207,205,,,False,,2023-10-25 15:56:17
210,162,scratch,"{""x1"": 99, ""y1"": 31, ""x2"": 151, ""y2"": 168}",True,0.85,2023-08-14 00:25:30
213,165,dent,"{""x1"": 81, ""y1"": 51, ""x2"": 164, ""y2"": 140}",True,0.85,2023-04-17 20:44:44
216,122,dent,"{""x1"": 37, ""y1"": 36, ""x2"": 105, ""y2"": 200}",True,0.54,2023-09-13 05:28:10
219,45,dent,"{""x1"": 56, ""y1"": 1, ""x2"": 122, ""y2"": 170}",True,0.66,2023-08-03 19:18:39
222,48,,,False,,2023-01-18 09:34:38
225,131,dent,"{""x1"": 71, ""y1"": 40, ""x2"": 118, ""y2"": 129}",True,0.8,2023-07-26 15:30:09
228,69,dent,"{""x1"": 76, ""y1"": 91, ""x2"": 194, ""y2"": 101}",True,0.72,2023-04-21 13:40:03
231,179,scratch,"{""x1"": 61, ""y1"": 66, ""x2"": 178, ""y2"": 177}",True,1.0,2023-10-29 17:02:01
234,180,scratch,"{""x1"": 98, ""y1"": 31, ""x2"": 157, ""y2"": 116}",True,0.77,2023-05-05 08:07:09
237,238,dent,"{""x1"": 90, ""y1"": 10, ""x2"": 176, ""y2"": 112}",True,0.71,2023-04-21 18:46:16
240,45,scratch,"{""x1"": 89, ""y1"": 19, ""x2"": 167, ""y2"": 144}",True,0.81,2023-05-08 01:01:45
243,283,stain,"{""x1"": 73, ""y1"": 52, ""x2"": 106, ""y2"": 125}",True,0.88,2023-01-04 06:04:19
246,165,scratch,"{""x1"": 48, ""y1"": 67, ""x2"": 167, ""y2"": 136}",True,0.97,2023-06-28 07:08:09
249,124,,,False,,2023-01-30 21:28:11
252,23,scratch,"{""x1"": 60, ""y1"": 0, ""x2"": 132, ""y2"": 118}",True,0.63,2023-07-12 09:11:43
255,180,stain,"{""x1"": 80, ""y1"": 73, ""x2"": 107, ""y2"": 197}",True,0.59,2023-09-28 20:24:45
258,61,stain,"{""x1"": 92, ""y1"": 39, ""x2"": 151, ""y2"": 176}",True,0.57,2023-06-08 00:48:05
261,240,dent,"{""x1"": 8, ""y1"": 58, ""x2"": 157, ""y2"": 179}",True,0.58,2023-04-19 09:37:28
264,242,scratch,"{""x1"": 86, ""y1"": 88, ""x2"": 180, ""y2"": 152}",True,0.65,2023-11-12 14:41:43
267,34,dent,"{""x1"": 21, ""y1"": 37, ""x2"": 173, ""y2"": 161}",True,0.64,2023-06-17 11:28:06
270,70,stain,"{""x1"": 84, ""y1"": 23, ""x2"": 184, ""y2"": 115}",True,0.66,2023-03-23 23:57:43
273,209,stain,"{""x1"": 94, ""y1"": 46, ""x2"": 166, ""y2"": 160}",True,0.65,2023-10-20 13:46:49
276,131,dent,"{""x1"": 99, ""y1"": 18, ""x2"": 112, ""y2"": 193}",True,0.62,2023-08-03 12:26:09
279,190,dent,"{""x1"": 63, ""y1"": 9, ""x2"": 108, ""y2"": 193}",True,0.76,2023-05-08 03:02:15
282,138,dent,"{""x1"": 6, ""y1"": 48, ""x2"": 179, ""y2"": 154}",True,0.69,2023-07-12 01:23:44
285,40,,,False,,2023-11-02 14:28:47
288,281,stain,"{""x1"": 60, ""y1"": 45, ""x2"": 185, ""y2"": 135}",True,0.87,2023-01-29 12:06:32
291,146,scratch,"{""x1"": 89, ""y1"": 59, ""x2"": 152, ""y2"": 133}",True,0.87,2023-06-25 11:09:22
294,96,dent,"{""x1"": 80, ""y1"": 70, ""x2"": 120, ""y2"": 157}",True,0.89,2023-02-18 19:46:18
297,16,stain,"{""x1"": 13, ""y1"": 12, ""x2"": 159, ""y2"": 113}",True,0.85,2023-01-05 06:42:13
300,25,dent,"{""x1"": 51, ""y1"": 62, ""x2"": 191, ""y2"": 170}",True,0.88,2023-05-14 18:38:23
303,194,stain,"{""x1"": 29, ""y1"": 99, ""x2"": 163, ""y2"": 174}",True,0.83,2023-01-03 18:24:20
306,300,dent,"{""x1"": 69, ""y1"": 96, ""x2"": 172, ""y2"": 187}",True,0.86,2023-05-12 22:48:02
309,237,stain,"{""x1"": 48, ""y1"": 30, ""x2"": 173, ""y2"": 107}",True,0.58,2023-09-12 11:36:40
312,215,scratch,"{""x1"": 28, ""y1"": 67, ""x2"": 162, ""y2"": 139}",True,0.56,2023-07-25 00:13:43
315,248,stain,"{""x1"": 9, ""y1"": 81, ""x2"": 100, ""y2"": 130}",True,0.76,2023-05-27 12:33:06
318,186,dent,"{""x1"": 16, ""y1"": 56, ""x2"": 139, ""y2"": 110}",True,0.92,2023-03-09 07:16:05
321,58,dent,"{""x1"": 62, ""y1"": 100, ""x2"": 162, ""y2"": 176}",True,0.94,2023-07-04 06:20:48
324,246,,,False,,2023-05-15 10:23:34
327,128,dent,"{""x1"": 90, ""y1"": 33, ""x2"": 176, ""y2"": 106}",True,1.0,2023-06-09 01:25:57
330,299,stain,"{""x1"": 27, ""y1"": 61, ""x2"": 170, ""y2"": 108}",True,0.68,2023-05-13 02:06:45
333,212,scratch,"{""x1"": 58, ""y1"": 3, ""x2"": 137, ""y2"": 128}",True,0.75,2023-10-28 16:12:59
336,264,,,False,,2023-03-25 16:07:16
339,225,scratch,"{""x1"": 83, ""y1"": 45, ""x2"": 199, ""y2"": 124}",True,0.73,2023-03-22 11:54:55
342,1,,,False,,2023-02-05 04:11:31
345,147,dent,"{""x1"": 86, ""y1"": 26, ""x2"": 122, ""y2"": 140}",True,0.89,2023-05-19 16:17:02
348,225,stain,"{""x1"": 96, ""y1"": 65, ""x2"": 193, ""y2"": 150}",True,0.85,2023-06-10 17:14:29
351,249,dent,"{""x1"": 68, ""y1"": 50, ""x2"": 117, ""y2"": 106}",True,0.93,2023-08-04 14:00:28
354,221,dent,"{""x1"": 81, ""y1"": 53, ""x2"": 170, ""y2"": 152}",True,0.55,2023-06-30 18:16:26
357,275,scratch,"{""x1"": 7, ""y1"": 13, ""x2"": 124, ""y2"": 134}",True,0.68,2023-06-23 01:17:10
360,48,stain,"{""x1"": 51, ""y1"": 91, ""x2"": 135, ""y2"": 133}",True,0.89,2023-06-19 02:31:39
363,47,stain,"{""x1"": 43, ""y1"": 10, ""x2"": 147, ""y2"": 119}",True,0.67,2023-10-22 20:09:04
366,141,stain,"{""x1"": 37, ""y1"": 37, ""x2"": 177, ""y2"": 156}",True,0.87,2023-06-02 08:12:45
369,40,,,False,,2023-10-18 18:26:32
372,156,dent,"{""x1"": 100, ""y1"": 42, ""x2"": 134, ""y2"": 107}",True,0.84,2023-12-12 00:12:23
375,210,,,False,,2023-02-03 15:20:35
378,36,dent,"{""x1"": 12, ""y1"": 30, ""x2"": 185, ""y2"": 143}",True,0.76,2023-11-03 15:07:18
381,177,dent,"{""x1"": 84, ""y1"": 11, ""x2"": 112, ""y2"": 178}",True,0.54,2023-01-14 07:20:40
384,140,dent,"{""x1"": 90, ""y1"": 47, ""x2"": 167, ""y2"": 129}",True,0.58,2023-08-08 07:20:06
387,80,scratch,"{""x1"": 22, ""y1"": 60, ""x2"": 192, ""y2"": 124}",True,0.97,2023-02-19 18:07:30
390,146,scratch,"{""x1"": 49, ""y1"": 48, ""x2"": 171, ""y2"": 169}",True,0.66,2023-04-24 08:34:04
393,121,,,False,,2023-09-28 08:17:01
396,179,,,False,,2023-01-26 00:40:31
399,289,,,False,,2023-06-02 00:31:21
402,12,scratch,"{""x1"": 17, ""y1"": 49, ""x2"": 123, ""y2"": 170}",True,0.87,2023-11-03 18:57:20
405,167,,,False,,2023-04-17 06:48:02
408,18,scratch,"{""x1"": 6, ""y1"": 69, ""x2"": 138, ""y2"": 180}",True,0.73,2023-12-07 09:39:12
411,153,stain,"{""x1"": 44, ""y1"": 26, ""x2"": 186, ""y2"": 106}",True,0.6,2023-12-23 21:44:46
414,30,,,False,,2023-05-14 22:04:57
417,179,,,False,,2023-03-19 15:25:26
420,73,stain,"{""x1"": 70, ""y1"": 21, ""x2"": 162, ""y2"": 169}",True,0.75,2023-07-28 07:22:28
423,104,,,False,,2023-11-17 06:17:02
426,210,dent,"{""x1"": 82, ""y1"": 61, ""x2"": 112, ""y2"": 109}",True,0.57,2023-11-25 10:46:03
429,103,scratch,"{""x1"": 48, ""y1"": 91, ""x2"": 114, ""y2"": 143}",True,0.65,2023-09-16 07:26:49
432,67,stain,"{""x1"": 56, ""y1"": 1, ""x2"": 137, ""y2"": 159}",True,0.74,2023-04-19 02:30:07
435,158,dent,"{""x1"": 57, ""y1"": 84, ""x2"": 100, ""y2"": 141}",True,0.77,2023-08-04 13:24:27
438,41,dent,"{""x1"": 9, ""y1"": 4, ""x2"": 175, ""y2"": 134}",True,0.9,2023-04-20 03:49:57
441,177,stain,"{""x1"": 11, ""y1"": 5, ""x2"": 100, ""y2"": 173}",True,0.71,2023-04-23 22:18:46
444,150,scratch,"{""x1"": 42, ""y1"": 63, ""x2"": 185, ""y2"": 114}",True,0.93,2023-09-09 00:56:38
447,45,,,False,,2023-01-11 12:10:41
450,4,stain,"{""x1"": 64, ""y1"": 26, ""x2"": 196, ""y2"": 188}",True,0.59,2023-09-18 09:06:17
